CODIGO EMPRESA,NOMBRE EMPRESA,CODIGO PDV,NOMBRE PDV,NOMBRE PRODUCTO,NOMBRE PRODUCTO,ESTADO ARTICULO,MINIMO,COSTO PROMEDIO,STOCK,Fecha Stock
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100147239,TRATAMIENTO IL SALONE LISCIO PROGR. CAP. DANNEG.,INACTIVO,0,"44,1",0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100147242,TRATAMIENTO IL SALONE ETERNAL LEAVE-IN CAB. TINT. 200 ML,INACTIVO,0,"28,42",0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100147243,TRATAMIENTO IL SALONE CAB TINTURADOS 250 ML,INACTIVO,0,"28,42",0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100147244,SHAMPOO IL SALONE MAGNIFICENT 500 ML,INACTIVO,0,29792,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100147245,TRATAMIENTO IL SALONE ENHANCING CHOCOLATE 150 ML,INACTIVO,0,"28,42",0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100147246,TRATAMIENTO IL SALONE ICONIC 250 ML,INACTIVO,0,"28,42",0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100147247,ACONDICIONADOR IL SALONE EPIC 500 ML,INACTIVO,0,29792,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100147248,SHAMPOO IL SALONE MYTHIC 500 ML,INACTIVO,0,29792,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100147533,TRATAMIENTO IL SALONE SUPREME 250 ML,INACTIVO,0,"28,42",0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100147534,SHAMPOO IL SALONE GLORIOUS 500 ML,INACTIVO,0,29792,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100147535,TRATAMIENTO IL SALONE TONE ENHANCING ICE BLOND 150 ML,INACTIVO,0,"28,42",0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164056,TINTE IL SALONNE COLORE # 5.65,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164057,TINTE IL SALONNE COLORE # 7.7,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164058,TINTE IL SALONNE COLORE # 7,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164059,TINTE IL SALONNE COLORE #6.66,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164060,TINTE IL SALONNE COLORE # 12.11,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164061,TINTE IL SALONNE COLORE # 6.77,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164062,TINTE IL SALONNE COLORE #7.4,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164063,TINTE IL SALONNE COLORE # 5,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164064,TINTE IL SALONNE COLORE # 6,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164065,TINTE IL SALONNE COLORE # 4,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164066,TINTE IL SALONNE COLORE # 9.1,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164067,TINTE IL SALONNE COLORE # 8.1,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164068,TINTE IL SALONNE COLORE # 7.1,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164069,TINTE IL SALONNE COLORE # 1,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164178,TINTE IL SALONNE COLORE # 10.1,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100164532,TINTE IL SALONE SLC COLORE YELLOW REMOVER,INACTIVO,0,17304,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100181637,ACONDICIONADOR IL SALONE MAGNIFICENT PROTECTION-LUMINOSITY 500 ML,INACTIVO,0,29792,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100181638,ACONDICIONADOR IL SALONE GLORIOUS NUTRITION-LIGHTNESS 500 ML,INACTIVO,0,29792,0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100193734,TRAMIENTO IL SALONE OLIO RESTRUCTURANTE CAB. MUY DAÑADOS 100ML,INACTIVO,0,"28,42",0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100193735,TRATAMIENTO IL SALONE RESTRUCTURANTE CAB. MUY DAÑADOS 250ML,INACTIVO,0,"28,42",0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100217039,SHAMPOO IL SALONE YELLOW REMOVER 250ML,INACTIVO,0,"20,58",0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100217040,TRATAMIENTO IL SALONE YELLOW REMOVER 150ML,INACTIVO,0,"20,58",0,28/02/21
1,FARMACIAS Y COMISARIATOS DE MEDICINAS S.A. FARCOMED,1802,CERRADO FYBECA AEROPLAZA,100217041,TRATAMIENTO SPRAY DETOX LEAVE-IN 200 ML,INACTIVO,0,"29,4",0,28/02/21
